customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9868-HLBAP,Male,0,No,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,100.41,6120.95,Yes
6674-CLHVC,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,82.99,4400.90,Yes
0242-AEZWN,Female,0,No,Yes,12,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,66.25,797.17,No
6899-MSGQT,Male,0,Yes,Yes,11,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.1,980.56,No
3466-MOKDM,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.81,18.25,No
6251-JMYUF,Female,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,97.96,3989.13,Yes
3968-GAAYY,Female,1,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.93,1342.59,No
3826-FHIEA,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),26.14,264.73,No
2975-XITQQ,Male,0,No,Yes,21,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),94.47,1981.24,No
9361-CQEQX,Male,0,Yes,Yes,48,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,65.29,3132.24,No
0011-VWEAA,Female,1,No,Yes,36,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,100.01,3590.12,No
2149-FWDWK,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),91.14,3175.39,No
7057-ETBFV,Male,1,No,Yes,48,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,79.0,3797.61,No
0852-TDSZC,Female,0,No,Yes,57,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,82.49,4711.47,No
2363-IAHGR,Male,0,Yes,No,2,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),66.23,123.50,No
7088-RWJCG,Male,0,No,No,65,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,92.73,6033.59,Yes
9830-BAPLE,Male,0,No,Yes,32,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),55.19,1775.23,No
4688-CSPPC,Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.16,1754.83,Yes
3757-AXTKQ,Male,0,No,Yes,47,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),62.08,2900.04,No
7357-TCPYC,Male,0,No,No,70,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,82.46,5763.13,Yes
8111-VCPID,Female,1,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.38,801.85,No
0304-PTXHG,Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),102.64,5022.10,No
2002-VWVNF,Female,0,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,81.53,2862.03,Yes
5257-BUAOA,Male,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,77.93,2040.20,No
4232-QQLNU,Male,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.92,574.70,No
5284-XQNUC,Female,0,Yes,Yes,30,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,71.45,2158.02,No
0346-ACRYJ,Female,0,No,Yes,39,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),54.46,2116.18,No
5927-NXROV,Male,1,Yes,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.22,1185.82,No
6191-ZQHAI,Male,1,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),94.57,5964.92,No
5696-ZCRYX,Male,0,Yes,No,69,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.51,3414.67,No
9683-MTAHN,Male,0,No,No,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.85,1045.69,No
2611-WVSYZ,Male,0,Yes,Yes,53,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,No,Mailed check,56.95,3006.20,No
5995-QTJFO,Male,1,No,Yes,53,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Electronic check,80.34,4242.86,No
5407-ULLEG,Female,1,No,Yes,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),100.32,7003.36,Yes
3532-WHTPM,Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),84.01,415.85,No
1920-XSZWZ,Male,1,Yes,No,63,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.03,5174.09,No
4946-ILUAZ,Female,0,Yes,No,53,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.9,2266.35,No
9015-PYHMU,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.14,1985.71,No
0645-WCLZP,Male,0,No,No,45,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,99.04,4452.87,Yes
2458-NEOQN,Female,0,No,Yes,41,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.95,3221.90,No
3499-PUGDA,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),88.74,4878.78,No
4699-VEDBT,Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),78.71,3093.04,No
9929-AXEMD,Female,0,No,Yes,14,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),73.48,1016.50,No
7610-TXLRC,Female,0,No,Yes,29,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,70.76,2057.01,No
0024-LCAAH,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.79,770.87,No
9121-CWQZH,Male,0,No,No,11,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),62.87,689.22,No
9991-SIGDZ,Male,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.38,1087.04,No
4173-YUYDJ,Male,1,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.88,481.78,No
4872-QCPDR,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.19,2466.52,Yes
0676-ELQWM,Female,0,No,No,67,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),76.3,5112.06,No
6828-QQTPY,Female,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.02,2027.21,Yes
5203-LISLI,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),100.83,5652.64,Yes
6329-OPUEC,Male,0,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),93.23,2508.47,No
8343-UWPYG,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),84.28,2110.39,Yes
4996-NZECW,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),67.15,865.17,No
1899-LQFGN,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,95.77,5358.01,No
7981-ZBEEF,Male,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.29,1384.46,Yes
2705-TQGYM,Female,0,No,Yes,65,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.85,5335.63,Yes
3352-LVGJZ,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.89,354.06,No
2621-ZTHIG,Male,1,No,No,36,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.28,3601.64,Yes
0280-YXAFU,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),56.85,569.92,No
5945-UKEDC,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),57.59,571.58,No
2381-OIQNO,Male,0,Yes,No,32,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),62.48,2010.99,No
0455-CPWYK,Female,0,Yes,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.28,57.57,Yes
9757-UHZDZ,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.84,3546.88,Yes
7914-IDVQI,Female,0,No,No,62,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,68.65,4273.16,No
0432-FRSEO,Male,0,No,No,2,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,62.9,122.86,Yes
8197-RMEWX,Female,1,No,Yes,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,52.95,1675.12,No
0501-OQKUZ,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.08,2006.11,Yes
8500-BICAU,Female,0,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),33.86,1124.42,No
6504-EFCUW,Female,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),34.01,1742.23,No
4449-JSQUN,Male,0,Yes,No,65,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),55.84,3633.42,No
8023-AQHBH,Female,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.31,1809.58,No
6991-VVCRL,Female,0,Yes,No,26,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.22,2171.35,Yes
0548-QPOWO,Female,0,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,97.47,6925.90,No
4412-GFBFR,Male,0,Yes,Yes,70,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Credit card (automatic),81.04,5668.58,No
1121-TYFAX,Male,0,No,No,48,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.25,850.61,No
6920-EDJXQ,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),93.9,4316.89,Yes
9037-EBFUB,Female,1,No,Yes,20,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),59.3,1209.24,No
2866-PKVPH,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,98.55,1968.73,No
3737-YCCRZ,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,81.91,5737.37,No
2244-RJVUF,Male,0,No,Yes,60,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),57.38,3435.96,No
0489-NBQNZ,Female,0,Yes,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,74.45,976.49,Yes
8988-VOXKP,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.15,1921.07,Yes
0930-HQCTO,Female,0,Yes,No,4,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),61.73,254.16,Yes
7596-NXBMZ,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.36,586.58,No
7262-OWNKO,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.68,1380.98,No
1952-SOYWE,Male,0,No,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.13,1129.28,Yes
9680-GVZLY,Male,1,Yes,No,55,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),70.17,3867.96,No
0383-JCIMR,Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,78.62,4303.83,Yes
3517-HQLSJ,Male,0,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Mailed check,97.3,1069.60,No
8453-ZBXMF,Female,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),103.64,6747.89,No
4804-VUFFW,Male,0,No,Yes,25,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,58.74,1467.40,No
3768-WCSHE,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,93.36,6283.28,Yes
3751-TKDOF,Female,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),80.14,2316.21,No
5075-SYBOK,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.33,1361.59,Yes
7924-FZVDS,Female,0,No,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),72.18,4691.24,No
3030-LOAZN,Male,1,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.23,3153.26,Yes
5432-AFRXJ,Male,0,Yes,Yes,50,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),85.71,4291.82,Yes
4691-MHBTA,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.33,294.37,No
4808-KOXFW,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,87.76,4737.46,Yes
2041-NUXKI,Male,0,Yes,Yes,35,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),77.13,2711.50,No
1220-HVHKI,Male,1,Yes,No,52,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Credit card (automatic),83.3,4316.96,No
4244-ESNZD,Female,0,Yes,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),93.56,4953.06,No
8981-HHGHN,Male,0,No,No,62,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),76.71,4751.13,No
2506-OAYQA,Male,0,No,No,57,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,75.11,4280.50,Yes
6147-HSGSF,Male,1,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.42,2465.61,Yes
5262-HJTOO,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.31,37.86,No
0363-FYAEW,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.17,480.88,No
0351-JEJAV,Male,1,Yes,No,34,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.6,1536.13,Yes
5373-XOHEO,Male,0,Yes,Yes,61,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,60.99,3709.45,No
3122-DDZKE,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),90.03,6374.07,No
3975-FHWOZ,Female,0,Yes,No,58,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.54,3927.33,No
9718-AOHKL,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.53,2153.13,No
3347-EHJQZ,Male,0,Yes,No,40,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,69.19,2754.39,No
8527-IVKWA,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.53,623.54,No
4493-VWYAV,Male,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.15,816.25,Yes
6274-OIUIJ,Female,0,No,No,48,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,62.69,3010.63,No
3849-ICTYZ,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),83.75,95.79,Yes
5161-BQKLS,Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),89.17,173.54,Yes
5786-TFUXA,Female,1,Yes,No,22,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),80.06,1766.30,No
0591-UQGQT,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.84,1040.99,No
8035-VHQGA,Male,1,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.92,393.54,No
6272-QMPHS,Male,0,Yes,Yes,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,111.21,3792.96,No
1021-BVQRF,Male,1,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.25,962.53,No
2307-WGCJJ,Female,0,No,No,59,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.86,3232.56,No
2106-WRGHA,Male,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,108.88,875.09,Yes
8627-WHVYO,Female,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),103.32,5273.74,No
4220-OHBCX,Male,0,Yes,No,49,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.91,3971.17,Yes
7334-VUNWP,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.44,1247.04,Yes
1696-AWUSP,Female,0,Yes,Yes,16,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,82.49,1330.71,No
2311-AOETK,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.22,1130.65,No
9126-WLTEE,Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,77.85,3677.17,No
5814-LCTZV,Female,0,No,No,26,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,73.6,1911.22,No
7097-NWQRS,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,79.23,1031.88,No
0871-MYGIV,Male,1,Yes,No,54,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),74.86,4045.46,No
5399-MBWEK,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,77.3,937.85,Yes
5149-DIFBQ,Female,1,Yes,No,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,86.42,173.43,Yes
4859-LWUJV,Male,1,Yes,No,63,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.53,5317.16,Yes
4857-BLMYU,Female,0,Yes,No,71,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,81.03,5757.22,Yes
6909-UZNBV,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.04,573.27,No
0243-SZUKH,Male,1,Yes,No,72,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,57.49,4126.60,No
3067-CVBWO,Male,0,No,No,38,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,64.03,2433.32,No
7554-XAZDO,Female,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.86,1080.73,No
3223-KQMKB,Male,1,No,Yes,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,301.36,No
8914-IIHQA,Male,0,No,Yes,53,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,54.08,2879.27,No
8798-GCCRE,Female,0,Yes,No,30,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,55.79,1664.94,No
2512-ELQQJ,Male,0,No,No,63,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,1229.49,No
8607-SHUQW,Male,0,Yes,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,81.81,3348.15,No
4557-YRYLO,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.33,737.44,No
9899-PGQWZ,Female,1,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.28,2294.64,No
4596-NOUGI,Male,0,No,Yes,41,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,46.59,1904.78,No
2716-RTGCR,Male,1,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.26,689.80,No
9607-CLMBC,Female,0,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,94.42,6524.89,No
4796-WLGOX,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.03,50.45,No
0358-MRAPM,Female,0,No,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),104.89,1801.26,Yes
9162-JBWMM,Male,0,Yes,No,28,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),55.43,1553.30,No
1263-QULYP,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.43,4826.65,Yes
